"","plant_id","transition","size_t0","size_t1","leaf_length_t0","leaf_length_t1","leaf_width_t0","leaf_width_t1","no_fl","fl_stem_height","fl_infl_height","SL","surv","years","site","pr_fl"
"227",103,2,2,NA,4.5,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"228",108,2,1,NA,3.1,NA,0.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"229",105,2,2,NA,8.3,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"230",105,2,2,NA,7.6,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"231",105,2,3,NA,4.2,NA,0.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"232",103,2,4,NA,5.9,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"233",103,2,5,NA,9,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"234",103,2,4,NA,9.7,NA,0.8,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"235",103,2,6,NA,10.3,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"236",8,1,NA,2,NA,4.6,NA,0.3,0,NA,NA,2,0,"2018 - 2019","Halle",0
"237",8,1,NA,NA,NA,NA,NA,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"238",115,1,NA,2,NA,6.3,NA,0.5,0,NA,NA,2,0,"2018 - 2019","Halle",0
"239",123,1,NA,4,NA,4.9,NA,0.5,0,NA,NA,5,0,"2018 - 2019","Halle",0
"240",12,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,0,"2018 - 2019","Halle",0
"241",131,1,NA,2,NA,8.4,NA,0.6,0,NA,NA,3,0,"2018 - 2019","Halle",0
"242",135,1,NA,5,NA,12.4,NA,0.8,0,NA,NA,8,0,"2018 - 2019","Halle",0
"243",136,1,NA,3,NA,6.1,NA,0.6,0,NA,NA,8,0,"2018 - 2019","Halle",0
"244",137,1,NA,3,NA,7.6,NA,0.5,0,NA,NA,8,0,"2018 - 2019","Halle",0
"245",138,1,NA,3,NA,3.6,NA,0.5,0,NA,NA,8,0,"2018 - 2019","Halle",0
"246",139,1,NA,3,NA,5,NA,0.4,0,NA,NA,8,0,"2018 - 2019","Halle",0
"247",140,1,NA,4,NA,6.3,NA,0.3,0,NA,NA,8,0,"2018 - 2019","Halle",0
"248",141,1,NA,4,NA,5,NA,0.4,0,NA,NA,8,0,"2018 - 2019","Halle",0
"249",132,1,NA,3,NA,8,NA,0.5,0,NA,NA,5,0,"2018 - 2019","Halle",0
"250",133,1,NA,3,NA,6.6,NA,0.4,0,NA,NA,5,0,"2018 - 2019","Halle",0
"251",134,1,NA,4,NA,4.5,NA,0.4,0,NA,NA,5,0,"2018 - 2019","Halle",0
"252",124,1,NA,3,NA,4.3,NA,0.3,0,NA,NA,2,0,"2018 - 2019","Halle",0
"253",125,1,NA,4,NA,5.2,NA,0.4,0,NA,NA,2,0,"2018 - 2019","Halle",0
"254",126,1,NA,3,NA,5,NA,0.4,0,NA,NA,2,0,"2018 - 2019","Halle",0
"255",2,3,3,3,10,139,0.9,19,0,0,0,2,1,"2020 - 2021","Halle",0
"256",2,3,5,3,11.1,139,1.2,19,1,14,1.1,2,1,"2020 - 2021","Halle",1
"257",3,3,7,9,8.7,200,1.2,19,0,0,0,2,1,"2020 - 2021","Halle",0
"258",4,3,6,6,5.7,164,0.7,12,0,0,0,2,1,"2020 - 2021","Halle",0
"259",5,3,1,NA,3.5,NA,0.6,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"260",5,3,2,NA,5,NA,0.4,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"261",6,3,NA,6,NA,152,NA,9,0,NA,NA,2,0,"2020 - 2021","Halle",0
"262",6,3,6,6,10.8,152,1.4,9,1,15.5,1,2,1,"2020 - 2021","Halle",1
"263",7,3,7,17,11.3,185,0.6,16,0,0,0,2,1,"2020 - 2021","Halle",0
"264",8,3,2,NA,4.6,NA,0.3,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"265",8,3,NA,NA,NA,NA,NA,NA,0,NA,NA,2,0,"2020 - 2021","Halle",0
"266",9,3,3,4,9.7,169,0.8,8,0,0,0,2,1,"2020 - 2021","Halle",0
